iso3c,country,MONY_2016,MONY_2017,MONY_2018,SPI.D1.9.MONY_2016,SPI.D1.9.MONY_2017,SPI.D1.9.MONY_2018
SRB,Serbia,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
SYC,Seychelles,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
SLE,Sierra Leone,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
SGP,Singapore,0,NM,NM,0,0,0
SVK,Slovak Republic,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
SVN,Slovenia,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
SLB,Solomon Islands,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
SOM,Somalia,0,NA,NA,0,0,0
ZAF,South Africa,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
SSD,South Sudan,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
ESP,Spain,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
LKA,Sri Lanka,0,MFSM 2000,MFSM 2000,0,1,1
KNA,St. Kitts and Nevis,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
LCA,St. Lucia,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
VCT,St. Vincent and the Grenadines,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
SDN,Sudan,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
SUR,Suriname,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
SWE,Sweden,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
CHE,Switzerland,0,NM,NM,0,0,0
SYR,Syrian Arab Republic,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
TJK,Tajikistan,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
TZA,Tanzania,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
THA,Thailand,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
TLS,Timor-Leste,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
TGO,Togo,0,MFSM 2000,MFSM 2000,0,1,1
TON,Tonga,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
TTO,Trinidad and Tobago,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
TUN,Tunisia,0,NM,MFSMCG 2016,0,0,1
TUR,Turkey,0,MFSM 2000,MFSM 2000,0,1,1
TKM,Turkmenistan,na,NA,NA,0,0,0
TUV,Tuvalu,0,NM,NM,0,0,0
UGA,Uganda,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
UKR,Ukraine,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
ARE,United Arab Emirates,0,MFSM 2000,MFSM 2000,0,1,1
GBR,United Kingdom,0,NM,NM,0,0,0
USA,United States,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
URY,Uruguay,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
UZB,Uzbekistan,na,MFSM 2000,MFSM 2000,0,1,1
VUT,Vanuatu,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
VEN,"Venezuela, RB",MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
VNM,Vietnam,0,NM,NM,0,0,0
PSE,West Bank and Gaza,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
YEM,"Yemen, Rep.",0,NM,NM,0,0,0
ZMB,Zambia,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
ZWE,Zimbabwe,0,NM,MFSMCG 2016,0,0,1
