iso3c,country,SPI.D1.MSC_2016,SPI.D1.MSC_2017,SPI.D1.MSC_2018
UZB,Uzbekistan,41.66666666666667,66.66666666666666,66.66666666666666
VCT,St. Vincent and the Grenadines,45.83333333333333,41.66666666666667,41.66666666666667
VEN,"Venezuela, RB",25,25,25
VNM,Vietnam,33.33333333333333,41.66666666666667,41.66666666666667
VUT,Vanuatu,20.833333333333336,16.666666666666664,16.666666666666664
WSM,Samoa,41.66666666666667,41.66666666666667,41.66666666666667
XKX,Kosovo,50,50,50
YEM,"Yemen, Rep.",25,25,25
ZAF,South Africa,62.5,62.5,62.5
ZMB,Zambia,37.5,37.5,37.5
ZWE,Zimbabwe,33.33333333333333,33.33333333333333,41.66666666666667
