iso3c,country,SPI.D3.AKI_2016,SPI.D3.AKI_2017,SPI.D3.AKI_2018,SPI.D3.AKI_2019
GUY,Guyana,45.588235294117645,44.705882352941174,46.470588235294116,42.94117647058823
HKG,"Hong Kong SAR, China",50.588235294117645,48.82352941176471,48.82352941176471,46.470588235294116
HND,Honduras,62.64705882352941,62.64705882352941,62.64705882352941,55
HRV,Croatia,68.23529411764706,68.23529411764706,68.23529411764706,65.88235294117646
HTI,Haiti,47.64705882352941,46.76470588235294,36.1764705882353,32.94117647058823
HUN,Hungary,70,70,70,67.6470588235294
IDN,Indonesia,70.88235294117646,69.11764705882354,69.11764705882354,65
IMN,Isle of Man,29.41176470588235,29.41176470588235,29.41176470588235,24.705882352941178
IND,India,58.23529411764706,62.64705882352941,62.64705882352941,59.117647058823536
IRL,Ireland,71.76470588235294,70,70,66.47058823529412
IRN,"Iran, Islamic Rep.",59.99999999999999,58.23529411764706,58.23529411764706,55.88235294117647
IRQ,Iraq,50.29411764705883,48.529411764705884,47.94117647058823,44.705882352941174
ISL,Iceland,67.94117647058823,67.94117647058823,65,60.588235294117645
ISR,Israel,70.29411764705883,68.52941176470588,67.3529411764706,65
ITA,Italy,70,70,70,67.6470588235294
JAM,Jamaica,58.23529411764706,58.23529411764706,56.470588235294116,54.11764705882352
JOR,Jordan,56.470588235294116,56.470588235294116,52.35294117647059,48.529411764705884
JPN,Japan,65,63.23529411764706,63.23529411764706,59.99999999999999
KAZ,Kazakhstan,81.76470588235294,83.52941176470588,83.52941176470588,81.17647058823529
KEN,Kenya,54.11764705882352,52.94117647058823,50.588235294117645,47.352941176470594
KGZ,Kyrgyz Republic,77.6470588235294,77.6470588235294,79.41176470588235,77.05882352941177
KHM,Cambodia,61.470588235294116,60.588235294117645,60.588235294117645,56.470588235294116
KIR,Kiribati,25.294117647058822,25.294117647058822,25.294117647058822,22.941176470588236
KNA,St. Kitts and Nevis,19.41176470588235,19.41176470588235,19.41176470588235,17.058823529411764
KOR,"Korea, Rep.",64.11764705882354,62.35294117647059,62.35294117647059,59.99999999999999
KWT,Kuwait,56.470588235294116,55.294117647058826,51.470588235294116,47.05882352941177
