iso3c,country,SPI_2016,SPI_2017,SPI_2018,SPI_2019,SPI.D1.MSC_2016,SPI.D1.MSC_2017,SPI.D1.MSC_2018,SPI.D1.MSC_2019,SPI.D2.CS_2016,SPI.D2.CS_2017,SPI.D2.CS_2018,SPI.D2.CS_2019,SPI.D3.AKI_2016,SPI.D3.AKI_2017,SPI.D3.AKI_2018,SPI.D3.AKI_2019,SPI.D4.DPO_2016,SPI.D4.DPO_2017,SPI.D4.DPO_2018,SPI.D4.DPO_2019
COD,"Congo, Dem. Rep.",26.770833333333336,27.604166666666664,32.217261904761905,NA,16.666666666666664,16.666666666666664,20.833333333333336,20.833333333333336,23.75,18.75,18.75,18.75,66.66666666666667,75,75,NA,0,0,14.285714285714285,14.285714285714285
COG,"Congo, Rep.",31.145833333333336,29.0625,31.07142857142857,NA,29.166666666666668,20.833333333333336,20.833333333333336,20.833333333333336,28.749999999999996,28.749999999999996,22.5,22.5,66.66666666666667,66.66666666666667,66.66666666666667,NA,0,0,14.285714285714285,14.285714285714285
COL,Colombia,81.25,79.6875,78.64583333333333,NA,50,50,45.83333333333333,54.166666666666664,75,68.75,68.75,70,100,100,100,NA,100,100,100,100
COM,Comoros,31.770833333333336,29.6875,37.35119047619048,NA,20.833333333333336,20.833333333333336,25,29.166666666666668,31.25,31.25,37.5,37.5,75,66.66666666666667,58.333333333333336,NA,0,0,28.57142857142857,42.857142857142854
CPV,Cabo Verde,64.31547619047619,64.31547619047619,65.9077380952381,NA,33.33333333333333,33.33333333333333,29.166666666666668,29.166666666666668,52.5,52.5,48.75,48.75,100,100,100,NA,71.42857142857143,71.42857142857143,85.71428571428571,85.71428571428571
CRI,Costa Rica,79.0625,83.125,84.375,NA,58.333333333333336,70.83333333333334,70.83333333333334,75,66.25,70,75,75,91.66666666666667,91.66666666666667,91.66666666666667,NA,100,100,100,100
CYP,Cyprus,77.38095238095238,77.38095238095238,85.56547619047619,NA,83.33333333333334,83.33333333333334,87.5,NA,100,100,100,NA,83.33333333333333,83.33333333333333,83.33333333333333,NA,42.857142857142854,42.857142857142854,71.42857142857143,NA
CZE,Czech Republic,79.46428571428571,78.42261904761904,92.70833333333333,NA,83.33333333333334,87.5,87.5,NA,100,100,100,NA,91.66666666666667,83.33333333333333,83.33333333333333,NA,42.857142857142854,42.857142857142854,100,NA
DEU,Germany,85.56547619047619,85.56547619047619,92.70833333333333,NA,87.5,87.5,87.5,NA,100,100,100,NA,83.33333333333333,83.33333333333333,83.33333333333333,NA,71.42857142857143,71.42857142857143,100,NA
DJI,Djibouti,27.708333333333336,29.791666666666668,41.30952380952381,NA,8.333333333333332,16.666666666666664,20.833333333333336,25,27.500000000000004,27.500000000000004,32.5,32.5,75,75,83.33333333333333,NA,0,0,28.57142857142857,28.57142857142857
DMA,Dominica,34.0625,33.020833333333336,32.083333333333336,NA,45.83333333333333,41.66666666666667,41.66666666666667,41.66666666666667,23.75,23.75,20,20,66.66666666666667,66.66666666666667,66.66666666666667,NA,0,0,0,0
DNK,Denmark,80.95238095238096,80.95238095238096,84.52380952380953,NA,83.33333333333334,83.33333333333334,83.33333333333334,NA,100,100,100,NA,83.33333333333333,83.33333333333333,83.33333333333333,NA,57.14285714285714,57.14285714285714,71.42857142857143,NA
DOM,Dominican Republic,61.99404761904761,61.99404761904761,65.56547619047619,NA,54.166666666666664,54.166666666666664,45.83333333333333,54.166666666666664,45,45,45,45,91.66666666666667,91.66666666666667,100,NA,57.14285714285714,57.14285714285714,71.42857142857143,57.14285714285714
DZA,Algeria,39.4047619047619,39.4047619047619,51.160714285714285,NA,25,25,29.166666666666668,37.5,35,35,35,28.749999999999996,83.33333333333333,83.33333333333333,83.33333333333333,NA,14.285714285714285,14.285714285714285,57.14285714285714,57.14285714285714
ECU,Ecuador,73.48214285714286,72.54464285714286,75.07440476190476,NA,50,50,45.83333333333333,45.83333333333333,72.5,68.75,68.75,68.75,100,100,100,NA,71.42857142857143,71.42857142857143,85.71428571428571,85.71428571428571
