iso3c,country,SPI.D3.AKI_2016,SPI.D3.AKI_2017,SPI.D3.AKI_2018,SPI.D3.AKI_2019
TTO,Trinidad and Tobago,26.666666666666668,23.333333333333332,20,13.333333333333334
TUN,Tunisia,50,53.333333333333336,53.333333333333336,46.666666666666664
TUR,Turkey,56.666666666666664,56.666666666666664,56.666666666666664,50
TUV,Tuvalu,13.333333333333334,13.333333333333334,6.666666666666667,0
TZA,Tanzania,43.333333333333336,33.333333333333336,33.333333333333336,26.666666666666668
UGA,Uganda,46.666666666666664,53.333333333333336,40,33.333333333333336
UKR,Ukraine,73.33333333333333,73.33333333333333,66.66666666666667,56.666666666666664
URY,Uruguay,63.333333333333336,63.333333333333336,63.333333333333336,56.666666666666664
USA,United States,63.333333333333336,63.333333333333336,63.333333333333336,53.333333333333336
UZB,Uzbekistan,43.333333333333336,43.333333333333336,50,43.333333333333336
VCT,St. Vincent and the Grenadines,36.666666666666664,36.666666666666664,36.666666666666664,30
VEN,"Venezuela, RB",40,40,20,6.666666666666667
VGB,British Virgin Islands,6.666666666666667,6.666666666666667,6.666666666666667,0
VIR,Virgin Islands (U.S.),13.333333333333334,13.333333333333334,13.333333333333334,6.666666666666667
VNM,Vietnam,50,50,50,40
VUT,Vanuatu,40,40,33.333333333333336,20
WSM,Samoa,46.666666666666664,46.666666666666664,40,33.333333333333336
XKX,Kosovo,46.666666666666664,53.333333333333336,53.333333333333336,46.666666666666664
YEM,"Yemen, Rep.",20,20,13.333333333333334,6.666666666666667
ZAF,South Africa,66.66666666666667,66.66666666666667,66.66666666666667,60
ZMB,Zambia,36.666666666666664,33.333333333333336,33.333333333333336,26.666666666666668
ZWE,Zimbabwe,40,36.666666666666664,33.333333333333336,26.666666666666668
